engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,slope_forward,2,2,1,0.010000000000000002,1.0,0.0,0.49951925339504216,0.00031551781193965946,0.0026528117609707163,-0.00710847819081713,-0.10167392808684753,1.0706878900527954,0.0,0
mujoco,slope_forward,2,2,2,0.02000000000000001,1.0,0.0,0.49817438108825474,0.0005547919875861855,0.004568691776320595,-0.0009851003932436601,-0.07488127940506054,1.0949957370758057,0.328556627035141,0
mujoco,slope_forward,2,2,3,0.03000000000000002,1.0,0.0,0.49598331998793765,0.0004487066367242603,0.007265895164045769,-0.006093028423357307,-0.06381184714220564,1.0766799449920654,0.2006673365831375,0
mujoco,slope_forward,2,2,4,0.04000000000000003,1.0,0.0,0.4928522494035309,0.00041459615473352985,0.008969130367115406,-0.0025624710076921652,-0.05475057031529229,0.8925589919090271,0.22282294929027557,0
mujoco,slope_forward,2,2,5,0.05000000000000004,1.0,0.0,0.488755828201712,0.0001376624979374847,0.010980497933084714,-0.006353960466847615,-0.04795704054076425,0.7652779221534729,0.1984386146068573,0
mujoco,slope_forward,2,2,6,0.060000000000000046,1.0,0.0,0.4836358799229121,-6.261956979715995e-05,0.01230676381674027,-0.00510788728407349,-0.04352961148706969,0.6791900992393494,0.12001460790634155,0
mujoco,slope_forward,2,2,7,0.07000000000000005,1.0,0.0,0.47749322606431904,-0.000405250877850585,0.013601751322003865,-0.007491402873731785,-0.04297924654928659,0.6541205644607544,0.08462529629468918,0
mujoco,slope_forward,2,2,8,0.08000000000000006,1.0,0.0,0.47032496368759247,-0.0003723154809633523,0.01442360760696906,-0.0069505871040287555,-0.027292994654723093,0.673954963684082,0.1014246940612793,0
mujoco,slope_forward,2,2,9,0.09000000000000007,1.0,0.0,0.4621527465722592,-0.0004476465066704021,0.015287832093796902,-0.008594568139530011,-0.0326804425537323,0.7052498459815979,0.08790052682161331,0
mujoco,slope_forward,2,2,10,0.10000000000000007,1.0,0.0,0.45297479087752934,-0.0005847066669946759,0.015823626723901543,-0.008167123866546755,-0.03090834327322332,0.7440655827522278,0.05604822561144829,0
mujoco,slope_forward,2,2,11,0.11000000000000008,1.0,0.0,0.4428110131215947,-0.0006893971503549542,0.01628987961213541,-0.00894325766864466,-0.027201105282752824,0.7653821706771851,0.05605565011501312,0
mujoco,slope_forward,2,2,12,0.12000000000000009,1.0,0.0,0.431664273724904,-0.0008623377372117999,0.01661357897079536,-0.009171997683416824,-0.021003010760336074,0.7744008898735046,0.030634088441729546,0
mujoco,slope_forward,2,2,13,0.1300000000000001,1.0,0.0,0.419537470020606,-0.0009869550283687308,0.016760679221733278,-0.009261688246609416,-0.013822374202858107,0.7614835500717163,0.023120515048503876,0
mujoco,slope_forward,2,2,14,0.1400000000000001,1.0,0.0,0.4064360841638299,-0.001111661175460378,0.016868650489297088,-0.00959728648993209,-0.010731297147727253,0.7712223529815674,0.030503205955028534,0
mujoco,slope_forward,2,2,15,0.1500000000000001,1.0,0.0,0.3923620066196071,-0.0011767711063888973,0.01690217943408723,-0.010060053587631766,0.007913253278891703,0.7683999538421631,0.021652257069945335,0
mujoco,slope_forward,2,2,16,0.16000000000000011,1.0,0.0,0.3779680504966583,0.0026078252566211976,0.025144068681554478,-0.025793795099609187,0.12749641453097318,0.7949315309524536,0.05324907973408699,0
mujoco,slope_forward,2,2,17,0.17000000000000012,1.0,0.0,0.36542990332132325,0.009187199811734695,0.04833435622369645,-0.03688837793080726,0.17637486502254124,1.1234395503997803,0.9063460230827332,0
mujoco,slope_forward,2,2,18,0.18000000000000013,1.0,0.0,0.3558999813782478,0.013951800079341065,0.07063229283342984,-0.021174214783760845,0.059768329792523354,2.209758758544922,1.1281867027282715,0
mujoco,slope_forward,2,2,19,0.19000000000000014,1.0,0.0,0.34945204397598184,0.0182864742597966,0.0841109115133031,0.0008861827286553382,-0.03542416845152696,2.6545655727386475,0.5095251798629761,0
mujoco,slope_forward,2,2,20,0.20000000000000015,1.0,0.0,0.34557150904268086,0.02134954334134442,0.08727470721298036,0.025531583589579094,-0.17505993668873596,2.7072534561157227,0.2775246798992157,0
mujoco,slope_forward,2,2,21,0.21000000000000016,1.0,0.0,0.3436464158256765,0.024772348324975088,0.08570834613239728,0.0389947826753814,-0.1579122855273077,2.0660996437072754,0.7909354567527771,0
mujoco,slope_forward,2,2,22,0.22000000000000017,1.0,0.0,0.3429094345303161,0.027750128517137127,0.08181023196413018,0.050601047276794084,-0.1957592186535162,1.4888662099838257,0.8598887324333191,0
mujoco,slope_forward,2,2,23,0.23000000000000018,1.0,0.0,0.34275770227211,0.029901161698276817,0.0775555263132223,0.057689738824713364,-0.17879135772152982,1.3364273309707642,0.5470712184906006,0
mujoco,slope_forward,2,2,24,0.24000000000000019,1.0,0.0,0.3428081712462059,0.03161604488722475,0.0734353146339066,0.06403833778007265,-0.13782271593849826,1.3870553970336914,0.25693580508232117,0
mujoco,slope_forward,2,2,25,0.25000000000000017,1.0,0.0,0.3428938456933465,0.03298576986303328,0.07026570494938478,0.06664116719815807,-0.06617530890399473,1.4420702457427979,0.1365564614534378,0
mujoco,slope_forward,2,2,26,0.2600000000000002,1.0,0.0,0.3429552437312893,0.03412985039951351,0.06724629981212615,0.07161409869444971,-0.017932279413205715,1.4642460346221924,0.1432361900806427,0
mujoco,slope_forward,2,2,27,0.2700000000000002,1.0,0.0,0.34300475019505056,0.03501761149615026,0.06489830445838238,0.07464383908739303,0.004068998279063251,1.452434778213501,0.08812274783849716,0
mujoco,slope_forward,2,2,28,0.2800000000000002,1.0,0.0,0.34303912354130117,0.03590751520123142,0.06269230987670686,0.07960146256707765,0.023735463258347515,1.4423941373825073,0.11244066059589386,0
mujoco,slope_forward,2,2,29,0.2900000000000002,1.0,0.0,0.343071580242614,0.03692185185206408,0.06075852055083658,0.08383666024822374,0.026576560466918177,1.4253631830215454,0.0869763046503067,0
mujoco,slope_forward,2,2,30,0.3000000000000002,1.0,0.0,0.3430966542646521,0.03812382725238558,0.05901224123861314,0.08863937849078111,0.03592465916366851,1.4263426065444946,0.0742422565817833,0
mujoco,slope_forward,2,2,31,0.3100000000000002,1.0,0.0,0.34310646479833695,0.03949984926329268,0.05745690650709426,0.09334507959189933,0.04353963441131646,1.4460523128509521,0.06264857947826385,0
mujoco,slope_forward,2,2,32,0.32000000000000023,1.0,0.0,0.3430962411197006,0.04088404048028894,0.05609808706080591,0.09662326217195112,0.03739127199141686,1.4592961072921753,0.05776931345462799,0
mujoco,slope_forward,2,2,33,0.33000000000000024,1.0,0.0,0.3430742855276845,0.0421732803388478,0.0548153533220626,0.10044908446829387,0.033306229281423044,1.4711295366287231,0.04971613362431526,0
mujoco,slope_forward,2,2,34,0.34000000000000025,1.0,0.0,0.34305035261734523,0.04335647984091469,0.05350414244025601,0.10466543574945482,0.026938873750003842,1.4672436714172363,0.0248654056340456,0
mujoco,slope_forward,2,2,35,0.35000000000000026,1.0,0.0,0.3430259457593661,0.04450369200838058,0.05215289792466817,0.10924099741061753,0.020163956186850743,1.4587358236312866,0.026460060849785805,0
mujoco,slope_forward,2,2,36,0.36000000000000026,1.0,0.0,0.34299983499914327,0.04558983384320468,0.05082945391652294,0.11400564455295333,0.010773961699148862,1.4492818117141724,0.017503896728157997,0
mujoco,slope_forward,2,2,37,0.3700000000000003,1.0,0.0,0.3429649546516755,0.04665526649225441,0.04946324958450159,0.11911809024237818,0.00890123135544309,1.4444602727890015,0.018844155594706535,0
mujoco,slope_forward,2,2,38,0.3800000000000003,1.0,0.0,0.3429221013673863,0.047740488009286555,0.048292486980493425,0.12264191929001494,0.02641807729272254,1.4412932395935059,0.008199064061045647,0
mujoco,slope_forward,2,2,39,0.3900000000000003,1.0,0.0,0.34287458604484106,0.048845377818643995,0.04718696501641984,0.1270504515518106,0.04076593983716703,1.4463348388671875,0.016149932518601418,0
mujoco,slope_forward,2,2,40,0.4000000000000003,1.0,0.0,0.3428261015544939,0.04991945476602616,0.04621207113403447,0.13003446513740216,0.03474310256677943,1.4474600553512573,0.011378288269042969,0
mujoco,slope_forward,2,2,41,0.4100000000000003,1.0,0.0,0.3427818935795652,0.05085556038223709,0.04535189210783416,0.1335182473639058,0.0243111362271478,1.45743727684021,0.020367251709103584,0
mujoco,slope_forward,2,2,42,0.4200000000000003,1.0,0.0,0.3427468831266692,0.0516975531821835,0.04449018527971417,0.13739862150765927,0.018744876347259236,1.465908408164978,0.016930898651480675,0
