engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,stairs_forward,1,1,1,0.010000000000000002,1.0,0.0,0.4995167221821693,0.0003110123909224357,0.0027843159379297953,-0.007295795890549383,-0.12197189440466875,1.0941307544708252,0.0,0
mujoco,stairs_forward,1,1,2,0.02000000000000001,1.0,0.0,0.49818042670342116,0.0005786582202209809,0.004676625332829508,-0.0010039917751844213,-0.08765169387339267,1.0989881753921509,0.3585314452648163,0
mujoco,stairs_forward,1,1,3,0.03000000000000002,1.0,0.0,0.49600311772157035,0.0005038322542635492,0.007462080745839872,-0.006244728125498571,-0.07400276356566672,1.0641260147094727,0.22130781412124634,0
mujoco,stairs_forward,1,1,4,0.04000000000000003,1.0,0.0,0.4928875130481587,0.0004944592164073378,0.009089522200063562,-0.002424665687428322,-0.06347306550924972,0.8679240942001343,0.23584604263305664,0
mujoco,stairs_forward,1,1,5,0.05000000000000004,1.0,0.0,0.4888068897077379,0.00024879011137737416,0.011134802093686802,-0.006399156771104658,-0.05479097443523676,0.7365401983261108,0.21016070246696472,0
mujoco,stairs_forward,1,1,6,0.060000000000000046,1.0,0.0,0.48370242222031207,9.676169022380989e-05,0.012425476507124878,-0.004940156642414911,-0.051238923305849185,0.6482086181640625,0.12559150159358978,0
mujoco,stairs_forward,1,1,7,0.07000000000000005,1.0,0.0,0.4775745924560174,-0.00019185902824114,0.013708545500971317,-0.00729010698235155,-0.04894403130593093,0.6269771456718445,0.08798239380121231,0
mujoco,stairs_forward,1,1,8,0.08000000000000006,1.0,0.0,0.470419742218009,-0.00010728013379966434,0.01447615540738232,-0.006508658415232366,-0.035204798353698954,0.6452094912528992,0.10737089067697525,0
mujoco,stairs_forward,1,1,9,0.09000000000000007,1.0,0.0,0.46226138894545044,-0.00011049794693811667,0.015331853274316569,-0.00827252195640187,-0.03903588330398137,0.6774731278419495,0.08974076062440872,0
mujoco,stairs_forward,1,1,10,0.10000000000000007,1.0,0.0,0.4530976289410704,-0.0002005174814846432,0.015838518466249604,-0.007723396958995439,-0.03917618448982512,0.718201756477356,0.05916992202401161,0
mujoco,stairs_forward,1,1,11,0.11000000000000008,1.0,0.0,0.4429470449676619,-0.00027866051467504826,0.016271898985583493,-0.008427249230246145,-0.03472334530534532,0.7383524775505066,0.0571291483938694,0
mujoco,stairs_forward,1,1,12,0.12000000000000009,1.0,0.0,0.43181277833497106,-0.00042963563588986777,0.016516474827066405,-0.00847669713246825,-0.029721085696196786,0.7473136782646179,0.02973833866417408,0
mujoco,stairs_forward,1,1,13,0.1300000000000001,1.0,0.0,0.41969887885553264,-0.0005409848090976484,0.016632593939448246,-0.008647419870578585,-0.020596190058050863,0.7337192296981812,0.024744806811213493,0
mujoco,stairs_forward,1,1,14,0.1400000000000001,1.0,0.0,0.4066096946674984,-0.0006429347585819751,0.016711691079598186,-0.00890866458149804,-0.016747192852627234,0.7433543801307678,0.030739707872271538,0
mujoco,stairs_forward,1,1,15,0.1500000000000001,1.0,0.0,0.3925450408902033,-0.0007030050194147983,0.01666164782967359,-0.008583010264544687,-0.008031033716552735,0.7410949468612671,0.022001322358846664,0
mujoco,stairs_forward,1,1,16,0.16000000000000011,1.0,0.0,0.3779716866109121,0.001520968050307476,0.02361697921182573,-0.02052103765765849,0.07492271004893504,0.7582219243049622,0.025361791253089905,0
mujoco,stairs_forward,1,1,17,0.17000000000000012,1.0,0.0,0.365068940124899,0.006734343784881684,0.04620118644742497,-0.033635076119273,0.1564210713402341,1.0776002407073975,0.9171010851860046,0
mujoco,stairs_forward,1,1,18,0.18000000000000013,1.0,0.0,0.35512131668481567,0.010442852533645025,0.0681259210866363,-0.023039627720317996,0.06074417336684687,2.1290411949157715,1.122463583946228,0
mujoco,stairs_forward,1,1,19,0.19000000000000014,1.0,0.0,0.34826724683787835,0.014313097008480597,0.08187946730299345,-0.0059424882159063355,-0.01811224605849996,2.5622050762176514,0.537972092628479,0
mujoco,stairs_forward,1,1,20,0.20000000000000015,1.0,0.0,0.34403171801517834,0.0172273964690295,0.08526564146632666,0.01792792473726348,-0.16210897146750763,2.6907424926757812,0.3347318172454834,0
mujoco,stairs_forward,1,1,21,0.21000000000000016,1.0,0.0,0.3418131172861729,0.020934899482585402,0.08386109581602388,0.029770417386751218,-0.1467340983205668,2.0997259616851807,0.7673031687736511,0
mujoco,stairs_forward,1,1,22,0.22000000000000017,1.0,0.0,0.3408577935662186,0.024304893330147424,0.08013899852567416,0.04011410960078869,-0.20101905893278027,1.531105399131775,0.859214186668396,0
mujoco,stairs_forward,1,1,23,0.23000000000000018,1.0,0.0,0.34057478370369054,0.026914506634261877,0.07626537889371592,0.0462215912983532,-0.17810080262903524,1.3787099123001099,0.5458996295928955,0
mujoco,stairs_forward,1,1,24,0.24000000000000019,1.0,0.0,0.34056944094723335,0.029004430730720412,0.07235481952414298,0.052628033616306906,-0.13899947121610712,1.4179240465164185,0.2563292980194092,0
