engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,flat_forward,0,0,1,0.010000000000000002,1.0,0.0,0.4995118820866722,0.000809259974237456,0.002723913966037369,-0.00721882691710012,-0.11670462992436553,1.104215145111084,0.0,0
mujoco,flat_forward,0,0,2,0.02000000000000001,1.0,0.0,0.4981646731628795,0.0014407127587213627,0.0046036148662022,-0.0011565473897428866,-0.08482641105120112,1.1137465238571167,0.3614458739757538,0
mujoco,flat_forward,0,0,3,0.03000000000000002,1.0,0.0,0.49597100618248857,0.0016418940087773207,0.007333532109227483,-0.006222841450220638,-0.066902769481862,1.0989763736724854,0.20643067359924316,0
mujoco,flat_forward,0,0,4,0.04000000000000003,1.0,0.0,0.4928408071960059,0.0018863039933284325,0.008995147714971228,-0.0026277720517214227,-0.057129215645037895,0.9095956683158875,0.2218140959739685,0
mujoco,flat_forward,0,0,5,0.05000000000000004,1.0,0.0,0.48874573522669246,0.0018916051981770416,0.011041106604398936,-0.006488278719524548,-0.04568001625119145,0.7808167338371277,0.20747904479503632,0
mujoco,flat_forward,0,0,6,0.060000000000000046,1.0,0.0,0.4836270908791935,0.0019284139004784584,0.012338018911754331,-0.005109610621613428,-0.041689627969279684,0.6821842789649963,0.12842518091201782,0
mujoco,flat_forward,0,0,7,0.07000000000000005,1.0,0.0,0.4774842599013994,0.0018393072228820124,0.01364541561526074,-0.007506309097139486,-0.037690744363499,0.6561055779457092,0.08788033574819565,0
mujoco,flat_forward,0,0,8,0.08000000000000006,1.0,0.0,0.47031179471153167,0.0021189235588735993,0.014413834535420505,-0.00677514025760657,-0.02130137428869094,0.6625951528549194,0.10198359936475754,0
mujoco,flat_forward,0,0,9,0.09000000000000007,1.0,0.0,0.4621329907893378,0.0022926891788904256,0.015265928076592586,-0.008486574380274987,-0.025594580363176904,0.694389820098877,0.08897053450345993,0
mujoco,flat_forward,0,0,10,0.10000000000000007,1.0,0.0,0.4529465379915747,0.002393499045107265,0.015765683982207977,-0.007974585686638457,-0.02520502432620587,0.7315933108329773,0.058414526283741,0
mujoco,flat_forward,0,0,11,0.11000000000000008,1.0,0.0,0.44277238698610843,0.00247611993011772,0.016221323145863418,-0.008763223450393882,-0.02133592251328683,0.7518695592880249,0.062367308884859085,0
mujoco,flat_forward,0,0,12,0.12000000000000009,1.0,0.0,0.43161413215773825,0.002502374646342229,0.016525921118158454,-0.008918549425440708,-0.014126907963137115,0.758038341999054,0.028716646134853363,0
mujoco,flat_forward,0,0,13,0.1300000000000001,1.0,0.0,0.41947513492615757,0.002531345666169376,0.016672259913826152,-0.009054717531565108,-0.00693781368489324,0.7448038458824158,0.022068526595830917,0
mujoco,flat_forward,0,0,14,0.1400000000000001,1.0,0.0,0.4063601522693554,0.002555942319128665,0.016764241527167777,-0.00931527621271839,-0.004030653106339977,0.7542936205863953,0.030305447056889534,0
mujoco,flat_forward,0,0,15,0.1500000000000001,1.0,0.0,0.3922704273236772,0.0026386620830619,0.01675974135358041,-0.009099227301640572,0.0012685613239784735,0.7501523494720459,0.019994597882032394,0
