engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,constant_forward,2,2,1,0.010000000000000002,1.0,0.0,0.49948684246260805,0.00021955231515218088,0.001280676122756009,-0.003433490975110331,-0.05340883861567253,1.0926837921142578,0.0,0
mujoco,constant_forward,2,2,2,0.02000000000000001,1.0,0.0,0.4980630562232924,0.000392272847363337,0.0028349053765717655,-0.0025056596024025015,-0.049976535226069534,1.2188998460769653,0.3294582664966583,0
mujoco,constant_forward,2,2,3,0.03000000000000002,1.0,0.0,0.4957388203725113,0.00039039475213909457,0.004395937116871627,-0.0033754226993221934,-0.04920695462799245,1.237701416015625,0.11794235557317734,0
mujoco,constant_forward,2,2,4,0.04000000000000003,1.0,0.0,0.49249233285987254,0.0003317333453412863,0.005858413020190534,-0.0034770936336071855,-0.045376739342847264,1.1116746664047241,0.13518126308918,0
mujoco,constant_forward,2,2,5,0.05000000000000004,1.0,0.0,0.48829798193007634,0.00019233165691658755,0.007175891569093669,-0.004081917870619644,-0.042918402934495434,0.9806246757507324,0.15744253993034363,0
mujoco,constant_forward,2,2,6,0.060000000000000046,1.0,0.0,0.48313356784992284,6.539247947221556e-06,0.008349527627295475,-0.004654827397123119,-0.041489165548173376,0.8605988025665283,0.14184509217739105,0
mujoco,constant_forward,2,2,7,0.07000000000000005,1.0,0.0,0.47698312761423095,-0.00021323313064749587,0.009357758096364402,-0.005264109739915294,-0.03720046432149412,0.7875864505767822,0.09716170281171799,0
mujoco,constant_forward,2,2,8,0.08000000000000006,1.0,0.0,0.4698394472717169,-0.000344859850379615,0.010092780887822773,-0.0054925314980231845,-0.029656983434711504,0.7534660696983337,0.061319898813962936,0
mujoco,constant_forward,2,2,9,0.09000000000000007,1.0,0.0,0.4617041226288372,-0.000400459691427829,0.010672844708561682,-0.006046255865584037,-0.028402351738109465,0.7626292705535889,0.05107961967587471,0
mujoco,constant_forward,2,2,10,0.10000000000000007,1.0,0.0,0.4525782527911152,-0.0004623568886491979,0.011137919916626667,-0.006419725491018017,-0.027189017709813548,0.7721737027168274,0.04427071288228035,0
