engine,scenario_id,repeat_id,seed,step,time_s,cmd_vx,cmd_yaw,base_z,base_roll,base_pitch,base_lin_vx,base_ang_yaw,action_l2,action_delta_l2,fallen_flag
mujoco,flat_forward,2,2,1,0.010000000000000002,1.0,0.0,0.49950883017747605,0.0003232782282349208,0.0026839819010714525,-0.0070977843052348576,-0.10226809194610267,1.0706878900527954,0.0,0
mujoco,flat_forward,2,2,2,0.02000000000000001,1.0,0.0,0.49815328141632265,0.0005119554820579066,0.004492568772982068,-0.0011321841238863645,-0.07526713357027007,1.0965667963027954,0.33013981580734253,0
mujoco,flat_forward,2,2,3,0.03000000000000002,1.0,0.0,0.49594982462049486,0.00038531826325466557,0.0072025063690869,-0.006280976512638314,-0.06418307644332223,1.0789189338684082,0.20418798923492432,0
mujoco,flat_forward,2,2,4,0.04000000000000003,1.0,0.0,0.4928074412370827,0.0003271350870802239,0.008826136373407038,-0.0027015578430745232,-0.05549575412373237,0.8919641375541687,0.22723881900310516,0
mujoco,flat_forward,2,2,5,0.05000000000000004,1.0,0.0,0.4887010699149067,4.286046835586903e-05,0.010865426348704283,-0.00656485314376203,-0.04854407070445059,0.7651613354682922,0.2013622224330902,0
mujoco,flat_forward,2,2,6,0.060000000000000046,1.0,0.0,0.4835727489009865,-0.00015929179900121186,0.012161361589346336,-0.005172694983241719,-0.044684499510148516,0.6770405769348145,0.12283025681972504,0
mujoco,flat_forward,2,2,7,0.07000000000000005,1.0,0.0,0.47742388125923496,-0.0005009376487478084,0.013477736235781008,-0.0075593725646703296,-0.04372064523697109,0.65326327085495,0.08693628013134003,0
mujoco,flat_forward,2,2,8,0.08000000000000006,1.0,0.0,0.47024952733142217,-0.0004670575596396854,0.014297809498625913,-0.006894171908038429,-0.028253543780777445,0.6728455424308777,0.10303819179534912,0
mujoco,flat_forward,2,2,9,0.09000000000000007,1.0,0.0,0.46207213370820766,-0.0005454729680704147,0.015169961948318917,-0.008521184897415466,-0.033413565177656174,0.704014003276825,0.08846006542444229,0
mujoco,flat_forward,2,2,10,0.10000000000000007,1.0,0.0,0.45289052586104134,-0.0006842315132520249,0.015704866054866717,-0.00809539472653639,-0.031755966200616166,0.7433577179908752,0.057107195258140564,0
mujoco,flat_forward,2,2,11,0.11000000000000008,1.0,0.0,0.44272312776643274,-0.000797625392528282,0.016172001942463262,-0.008838839917930599,-0.027991731422662678,0.764091968536377,0.05602622404694557,0
