terrain,vx_mae_mujoco_mean,vx_mae_mujoco_std,yaw_mae_mujoco_mean,yaw_mae_mujoco_std,roll_rms_mujoco_mean,roll_rms_mujoco_std,pitch_rms_mujoco_mean,pitch_rms_mujoco_std,survival_time_s_mujoco_mean,survival_time_s_mujoco_std,fall_rate_mujoco_mean,fall_rate_mujoco_std,action_delta_rate_mean_mujoco_mean,action_delta_rate_mean_mujoco_std
flat,0.5376137513351307,0.0010169817685849168,0.04209168917042903,0.0003133174012588851,0.016209307649611263,0.00033088661877166554,0.021201155541466232,7.116311052130453e-05,20.00000000000146,0.0,0.0,0.0,1.7752355954928751,0.04988761196677588
slope,0.7129296026167738,0.09732114795814958,0.3348417328123768,0.1051195713185583,0.26760992317360094,0.18240185980654872,0.17109838331372487,0.07741111046386223,15.966666666666796,5.333079160610459,0.0005214126807563667,0.0005049304451589769,55.435801644216674,27.107660864918692
stairs,0.9253535869479946,0.07326864247118686,0.49625990955041227,0.12934253680941118,0.2638188261190925,0.2747461689923258,0.49076113144448613,0.3496256874415487,19.700000000001094,0.5196152422712982,0.00017452006980800001,0.0003022776278479233,77.51285640504015,34.728475014529685
