terrain,base_z_baseline_std,base_z_rand_std,base_roll_baseline_std,base_roll_rand_std,base_pitch_baseline_std,base_pitch_rand_std,base_lin_vx_baseline_mean,base_lin_vx_rand_mean,base_lin_vx_baseline_std,base_lin_vx_rand_std,base_ang_yaw_baseline_std,base_ang_yaw_rand_std
flat,0.0021102790459200664,0.0022184424018346334,0.010429495404199234,0.010811399884667568,0.007693677679483968,0.009509160410883667,0.47947090155617894,0.4591646430728545,0.05066843372696813,0.06012396917259933,0.014595191404889567,0.0157733463469054
slope,0.13991937342665764,0.1101328574015356,0.2652195380379551,0.2022071349591338,0.14972277765784045,0.2584918152219685,0.6149165776698514,0.25919276252427215,0.5536011540685616,0.2418925966837786,0.6459710053140321,0.7873292044363835
stairs,0.11159844028114514,0.06330310533505157,0.26721263977281945,0.26757198774939484,0.3845214019137784,0.2299434313272111,0.17182922065371434,0.2745695434218082,0.5871438545609169,0.24553303052161182,0.85541867257392,1.0550567392375763
